price_bucket,total_sales,nev_sales,nev_penetration_pct,bev_sales,bev_penetration_pct,bev_share_of_nev_pct
5万以下,553831.0,544263.0,98.2723971753116,544263.0,98.2723971753116,100.0
5-10万,3792448.0,859501.0,22.663488068920127,732953.0,19.326646008066557,85.2765732675122
10-15万,7018525.0,2198061.0,31.317990603438755,1511026.0,21.529110461243636,68.74358809878342
15-20万,3960038.0,1180502.0,29.810370506545645,501847.0,12.672782432895847,42.511321454770936
20-25万,1659614.0,811447.0,48.89371865988115,503502.0,30.338500398285383,62.0498935851633
25-30万,1981597.0,986888.0,49.802659168337456,759326.0,38.31889127809539,76.94145637600214
30-35万,1137196.0,491248.0,43.19818219550544,175893.0,15.467254545390594,35.80533661205745
35-40万,617495.0,161267.0,26.11632482854112,51495.0,8.339338780071094,31.9315172974012
40-45万,532830.0,202179.0,37.94437250154834,19553.0,3.6696507328791546,9.671133005900712
45-50万,143264.0,43989.0,30.70485257985258,10579.0,7.384269600178691,24.049194116710996
50-55万,115884.0,43027.0,37.1293707500604,33421.0,28.840046943495217,77.67448346387152
55-60万,36179.0,7409.0,20.4787307554106,7050.0,19.486442411343596,95.1545417735187
60万以上,434914.0,37528.0,8.628832366858735,21834.0,5.020302864474356,58.180558516307826
