price_bucket,body_type,judgment,opportunity_flag,strength,obs_sales,market_openness,nev_substitution_space,bev_route_pct,market_volume_growth,expanded,confusion_cell
15-20万,轿车,替代空间主导,有机会,0.3907839841594548,299926.0,0.4864799983996052,0.8032889028223857,64.47390356287885,64.70629421924075,True,TRUE POSITIVE
20-25万,SUV,开放替代蓝海,有机会,0.3063442262984908,411742.0,0.5529627776617396,0.5540051494856473,50.75605597680101,36.37010555153471,True,TRUE POSITIVE
10-15万,轿车,替代空间主导,有机会,0.25282281672827744,1399422.0,0.4146497625448221,0.6097261823487677,69.64789748910621,26.163230247916648,True,TRUE POSITIVE
15-20万,SUV,替代空间主导,有机会,0.22417614642956973,873501.0,0.3546441274823955,0.6321157720021681,35.062467014920415,26.691097090902005,True,TRUE POSITIVE
25-30万,轿车,头部锁死,没机会,0.22036954534951644,216289.0,0.3256799929723657,0.6766444058730222,96.45613045508556,54.00505804733482,True,FALSE NEGATIVE
5-10万,轿车,头部锁死,没机会,0.187817265843638,765226.0,0.27187523685813075,0.6908215253956518,83.46266331776495,112.48650725406613,True,FALSE NEGATIVE
10-15万,SUV,头部锁死,没机会,0.18532779278983028,791600.0,0.24297498736735723,0.7627443252404851,66.94593228903487,142.9013390601314,True,FALSE NEGATIVE
20-25万,轿车,头部锁死,没机会,0.11840798497463528,376862.0,0.2608116498877573,0.4539980672856955,75.22514872818167,17.323847986796224,True,FALSE NEGATIVE
25-30万,SUV,头部锁死,没机会,0.058639768867874933,767083.0,0.1918293066069774,0.305687227385005,71.3333498461053,20.737521233034762,True,FALSE NEGATIVE
5万以下,轿车,头部锁死,没机会,0.00010147525731219849,529977.0,0.16506942754119502,0.0006147428922710363,100.0,42.85657679484205,True,FALSE NEGATIVE
30-35万,SUV,头部锁死,没机会,0.1579293667494654,432092.0,0.33723373725965766,0.46830832535555467,28.848254538385344,-4.039186099256642,False,TRUE NEGATIVE
