price_bucket,body_type,v01_profile,v01_opportunity_flag,nev_substitution_space,bev_route_pct,obs_sales,DPS_score,CES_score,PLS_score,market_state,C_top1_share_erosion,C_top3_share_erosion,C_leader_turnover,C_top3_turnover,C_challenger_presence,C_incumbent_aging,P_price_headroom,P_incumbent_price_position,P_price_sensitive_demand,top1_model,top1_share_12,top1_share_end
15-20万,SUV,开放替代蓝海,有机会,0.49409775841907144,38.850203497408394,1106648.0,0.4624190413855752,0.5003266421767776,0.15203671428369916,RIPE_WITH_BARRIER,0.08903552919253754,0.16259768169135047,1.0,1.0,0.0,1.0,0.3800917857092479,0.0,0.0,宋,0.17944278578192885,0.13492502118566008
10-15万,SUV,开放替代蓝海,有机会,0.5243838941161891,53.001783330308236,1922807.0,0.5260740758722571,0.23509482064036516,0.28463282281353697,RIPE_WITH_BARRIER,0.0,0.20055634004393108,0.0,0.0,1.0,0.29989035087719296,0.5374109000901339,0.0,0.23222820925827792,宋,0.220767866977809,0.23130504445172734
20-25万,SUV,开放替代蓝海,有机会,0.41253272175989186,70.48048684489389,561493.0,0.5002143657666059,0.46233552631578945,0.2715233299641037,RIPE_WITH_BARRIER,0.0,0.0,1.0,1.0,1.0,0.08223684210526315,0.5790554708427726,0.1330038054233155,0.0,MODEL Y,0.23436445334135955,0.318952581032413
15-20万,轿车,替代空间主导,有机会,0.6740320044448052,44.868086243438725,493997.0,0.6064266618416798,0.05886424103253158,0.25238518191773435,LOCKED_STABLE,0.09448567884686843,0.0,0.0,0.0,0.0,0.26644736842105265,0.35287541043798204,0.2600719525206706,0.11071143995446775,汉,0.4599036026534574,0.4126607632300232
10-15万,轿车,开放替代蓝海,有机会,0.4519677628826171,60.48032461162376,1765556.0,0.49781840785270315,0.16337164686112346,0.3596240161897284,LOCKED_STABLE,0.06685823430561733,0.0,0.0,0.0,0.0,1.0,0.3821784437539766,0.0,0.6891754622937927,秦,0.2635991155194171,0.23016999836660845
5-10万,轿车,替代空间主导,有机会,0.4901255054838095,65.91670858953434,1626002.0,0.5408379796072696,0.21663348399371204,0.28897130420327305,RIPE_WITH_BARRIER,0.03300294628434974,0.0,1.0,0.0,0.0,0.40021929824561403,0.5624384438075716,0.0,0.21331975560081462,海鸥,0.2800174907533939,0.263516017611219
30-35万,SUV,混动/增程主导,中间态,0.3428598597408772,39.50786105503824,414639.0,0.3585254849837287,0.060032894736842105,0.4786247013812497,LOCKED_STABLE,0.0,0.0,0.0,0.0,0.0,0.40021929824561403,0.6917746172295022,0.0,0.6730495149648292,理想L7,0.2942149677189073,0.31855452083256036
20-25万,轿车,头部锁死,没机会,0.40905445826416786,99.14101354973097,442149.0,0.5837611614341104,0.2774671052631579,0.32870470473714625,RIPE_WITH_BARRIER,0.0,0.0,1.0,0.0,0.0,0.8497807017543859,0.6346267774176895,0.07456674867027614,0.17494656389662544,MODEL 3,0.44643321595208857,0.4767193437382781
25-30万,SUV,头部锁死,没机会,0.3252697552805448,43.63212716634436,926157.0,0.35858521019541445,0.2600328947368421,0.1966687736276258,RIPE_WITH_BARRIER,0.0,0.0,0.0,0.0,1.0,0.7335526315789473,0.49167193406906445,0.0,0.0,MODEL Y,0.35579388807729145,0.7007016331375171
25-30万,轿车,头部锁死,没机会,0.48983330168046124,96.66432499939958,333096.0,0.6328762861745216,0.18248355263157895,0.160986427964545,LOCKED_STABLE,0.0,0.0,1.0,0.0,0.0,0.21655701754385964,0.27761889651118543,0.16646289786690263,0.0,小米SU7,0.3332342627951101,0.39950395002755834
50-55万,SUV,头部锁死,没机会,0.14386128807149445,13.081660958791552,152129.0,0.13994788452642076,0.3348684210526316,0.24926565626666974,NO_DEMAND_POOL,0.0,0.0,0.0,1.0,1.0,0.2324561403508772,0.6231641406666744,0.0,0.0,问界M9,0.9600273452136017,1.0
35-40万,MPV,头部锁死,没机会,0.004647031137097413,14.425766576977384,150148.0,0.04653022152690033,0.07245065789473686,0.5322518086035364,NO_DEMAND_POOL,0.0,0.0,0.0,0.0,0.0,0.48300438596491235,0.5806295215088408,0.0,1.0,腾势D9,0.49128859525268403,0.5653858784893268
5万以下,轿车,头部锁死,没机会,0.0,100.0,757107.0,0.3,0.14259868421052632,0.3313643043850014,LOCKED_STABLE,0.0,0.0,0.0,0.0,0.0,0.9506578947368421,0.8284107609625034,0.0,0.0,宏光MINI EV,0.41514739660312217,0.486524002313476
